Job_Title,Location,Salary,Monthly_Salary,Locality,State
Back Office Executive,"Pimpri-Chinchwad, Maharashtra","₹25,000 - ₹28,000 a month",26500.0,Remote,Maharashtra
Fresh Graduate,"Noida, Uttar Pradesh","₹15,000 - ₹25,000 a month",20000.0,Remote,Uttar Pradesh
OT Assistant,"Tiruppur, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,Remote,Tamil Nadu
Pizza hut- Team Member,"Pattom, Thiruvananthapuram, Kerala","Up to ₹10,500 a month",19250.0,Pattom,Kerala
Graphic Designer - Amazon Products Lifestyle & Infographics,"Thiruvananthapuram, Kerala","₹15,000 - ₹20,000 a month",17500.0,Remote,Kerala
Dues Coordinator intern,"Chennai, Tamil Nadu","₹10,000 - ₹15,000 a month",12500.0,Remote,Tamil Nadu
Google Ads Executive(fresher/experience),"Ambli, Ahmedabad, Gujarat","Up to ₹55,000 a month",19250.0,Ambli,Gujarat
Medical Scribe Trainee,Remote,"₹35,000 a month",35000.0,Remote,Remote
Hardware trainee - Female Candidates only,"Erode, Tamil Nadu","From ₹8,000 a month",19250.0,Remote,Tamil Nadu
Trainee - Human Resource,"Rajarajeshwari Nagar, Bengaluru, Karnataka","From ₹25,000 a month",19250.0,Rajarajeshwari Nagar,Karnataka
Checker and surveyor,"Mundra Bandar, Gujarat",Not specified,19250.0,Remote,Gujarat
Cinematography,"Koramangala VI Bk, Bengaluru, Karnataka","₹3,19,486.86 - ₹15,60,207.49 a year",939847.175,Koramangala VI Bk,Karnataka
Programmers,"Bengaluru, Karnataka","₹15,000 - ₹25,000 a month",20000.0,Remote,Karnataka
Digital Marketing Fresher,"Kochi, Kerala","₹3,000 - ₹6,000 a month",4500.0,Remote,Kerala
Financial Analyst,Delhi,Not specified,19250.0,Delhi,Delhi
Sales Supervisor,"Thrissur, Kerala","₹18,000 - ₹21,000 a month",19500.0,Remote,Kerala
